month,year,department,cost_center,budget_revenue,actual_revenue,forecast_revenue,budget_expense,actual_expense,forecast_expense																																																																																																																																																																																																																																																																																																																																																								Column344	Column345	Column346	Column347	Column348	Column349	Column350	Column351
Jan,2023,Sales,Field Sales,420000,415200,430000,180000,192500,185000																																																																																																																																																																																																																																																																																																																																																													
Jan,2023,Sales,Inside Sales,310000,298400,305000,120000,126300,122000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Sales,Sales Ops,90000,87000,92000,60000,64500,61000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,Marketing,Digital,150000,162000,155000,130000,138400,132000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,Marketing,Events,80000,72000,78000,95000,101200,98000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,Marketing,Brand,60000,58000,61000,70000,73500,71000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,Customer Success,Support,110000,108000,112000,90000,94500,92000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Customer Success,Onboarding,95000,91000,97000,85000,89200,87000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,Product,Product Management,0,0,0,140000,147000,142000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Product,UX,0,0,0,90000,94500,92000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Engineering,Backend,0,0,0,220000,231000,225000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Engineering,Frontend,0,0,0,180000,189000,183000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,Engineering,DevOps,0,0,0,160000,168000,163000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,G&A,HR,0,0,0,70000,73500,71000																																																																																																																																																																																																																																																																																																																																																														
Jan,2023,G&A,Finance,0,0,0,85000,89200,87000																																																																																																																																																																																																																																																																																																																																																															
Jan,2023,G&A,Legal,0,0,0,60000,63000,61000	

Feb,2023,Sales,Field Sales,430000,425000,440000,182000,193000,187000																																																																																																																																																																																																																																																																																																																																																														
Feb,2023,Sales,Inside Sales,315000,308000,312000,121000,125000,123000																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Sales,Sales Ops,92000,89000,93000,60500,64000,61500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Marketing,Digital,152000,160000,158000,131000,137000,133000																																																																																																																																																																																																																																																																																																																																																														
Feb,2023,Marketing,Events,78000,75000,79000,94000,100000,97000																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Marketing,Brand,61000,59500,62000,70500,73000,71500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Customer Success,Support,112000,110000,114000,90500,94000,92500																																																																																																																																																																																																																																																																																																																																																														
Feb,2023,Customer Success,Onboarding,96000,93500,98000,85500,89000,87500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Product,Product Management,0,0,0,142000,148000,144000																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Product,UX,0,0,0,91000,94000,92500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Engineering,Backend,0,0,0,222000,230000,227000																																																																																																																																																																																																																																																																																																																																																														
Feb,2023,Engineering,Frontend,0,0,0,182000,188000,185000																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,Engineering,DevOps,0,0,0,162000,167000,165000																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,G&A,HR,0,0,0,70500,73000,71500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,G&A,Finance,0,0,0,85500,89000,87500																																																																																																																																																																																																																																																																																																																																																															
Feb,2023,G&A,Legal,0,0,0,60500,63000,61500	

Mar,2023,Sales,Field Sales,440000,452000,445000,184000,196000,189000																																																																																																																																																																																																																																																																																																																																																														
Mar,2023,Sales,Inside Sales,320000,318000,325000,123000,127000,125000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Sales,Sales Ops,93000,91000,94000,61000,65000,62000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Marketing,Digital,155000,165000,160000,133000,139000,135000																																																																																																																																																																																																																																																																																																																																																														
Mar,2023,Marketing,Events,79000,78000,80000,94500,101000,98500																																																																																																																																																																																																																																																																																																																																																														
Mar,2023,Marketing,Brand,62000,60500,63000,71000,74000,72000																																																																																																																																																																																																																																																																																																																																																															
